"id","date","movementdate","interaction","type","duration"
"56121",2017-07-06,2017-06-10,"Stray","return",0
"56122",2017-07-05,2017-06-12,"Stray","return",0
"56123",2017-07-23,2017-07-02,"Stray","return",0
"56126",2017-12-20,2017-07-08,"Incompatible with owner lifestyle","return",0
"56128",2019-01-22,2017-06-21,"Incompatible with owner lifestyle","return",0
"56132",2017-07-23,2017-07-02,"Stray","return",0
"56133",2017-11-27,2017-07-08,"Incompatible with owner lifestyle","return",0
"56133",2018-02-11,2018-01-26,"Stray","return",0
"56133",2018-02-23,2018-02-19,"Stray","return",0
"56133",2018-08-16,2018-02-23,"Rabies Monitoring","return",0
"56138",2017-07-18,2017-06-30,"Stray","return",0
"56139",2017-07-18,2017-06-30,"Stray","return",0
"56140",2017-07-22,2017-06-16,"Allergies","return",0
"56141",2017-08-02,2017-06-30,"Stray","return",0
"56143",2017-08-17,2017-06-30,"Stray","return",0
"56144",2017-08-02,2017-06-30,"Stray","return",0
"56158",2017-07-06,2017-06-16,"Stray","return",0
"56164",2018-07-13,2017-07-15,"Incompatible with owner lifestyle","return",0
"56168",2017-07-28,2017-06-16,"Stray","return",0
"56169",2017-07-29,2017-06-16,"Stray","return",0
"56169",2019-07-27,2017-07-29,"Incompatible with other pets","return",0
"56170",2017-07-29,2017-06-16,"Stray","return",0
"56171",2017-07-28,2017-06-16,"Stray","return",0
"56174",2017-11-20,2017-08-05,"Stray","return",0
"56176",2019-03-10,2017-06-13,"Unsuitable Accommodation","return",0
"56184",2017-07-17,2017-07-05,"Moving","return",0
"56184",2017-07-25,2017-07-21,"Incompatible with owner lifestyle","return",0
"56187",2017-07-17,2017-07-13,"Stray","return",0
"56189",2018-01-29,2017-06-23,"Stray","return",0
"56189",2019-06-03,2018-01-30,"Stray","return",0
"56194",2017-08-03,2017-06-20,"Stray","return",0
"56198",2017-07-10,2017-06-30,"Incompatible with owner lifestyle","return",0
"56203",2017-07-07,2017-06-17,"Stray","return",0
