"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"58904","D1803226","985112006744639","Diego","1 year 11 months.","Male","Dog","Labrador Retriever","Black",23,2,0,0,0,0,0,0,0,1,1,0,0,0,2018-03-07
"58906","D1803241","981020025772593","Achilles","1 year 5 months.","Male","Dog","Pitbull","Blue",17,2,6,0,0,1,1,0,0,0,0,0,0,0,2018-03-08
"58907","R1803242","","Mopsy","1 year 2 months.","Male","House Rabbit","Dutch","Brown and White",14,2,120,0,1,0,0,0,0,0,0,0,0,0,2018-03-08
"58908","R1803243","","Flopsy","1 year 2 months.","Male","House Rabbit","Dutch","Black and White",14,2,120,0,1,0,0,0,0,0,0,0,0,0,2018-03-08
"58910","R1803244","","Snowball","6 years 9 months.","Female","House Rabbit","American","White and Black",81,2,56,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58911","G1803245","","Pepsi","4 years 2 months.","Female","Guinea Pig","American Crested","Calico",50,2,1,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58912","G1803246","","Sprite","5 years 9 months.","Female","Guinea Pig","American Crested","Dilute calico",69,2,1,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58913","G1803247","","Makenzie","5 years 9 months.","Female","Guinea Pig","American Crested","Calico",69,2,40,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58914","R1803248","","Persephone","1 year 2 months.","Female","House Rabbit","Lionhead","White and Brown",14,2,32,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58915","D1803249","981020025486628","Ruby","9 years 8 months.","Female","Dog","Beagle","Tricolour",116,2,6,0,0,1,1,0,0,0,0,0,0,0,2018-03-09
"58918","C1803244","","Genius","6 years 2 months.","Male","Cat","Domestic Short Hair","Grey and White",74,2,4,0,0,0,0,0,0,1,1,0,0,0,2018-03-10
"58919","C1803245","981020021508710","Darth Vader","1 year 6 months.","Male","Cat","Domestic Short Hair","Black and White",18,2,16,0,0,1,1,0,0,0,0,0,0,0,2018-03-10
"58920","D1803246","981020025778323","Twix","2 years 8 months.","Female","Dog","Rottweiler/Hound","Black and Tan",32,6,712,0,0,1,1,1,2,0,0,1,2,0,2018-03-10
"58921","D1803247","981020025477726","Chloe","3 years 10 months.","Female","Dog","Beagle","Tricolour",46,8,146,0,0,1,3,1,1,0,0,1,3,0,2018-03-10
"58922","C1803250","981020025693404","Lily","1 year 8 months.","Female","Cat","Domestic Short Hair","Brown and Black",20,2,38,0,0,1,1,0,0,0,0,0,0,0,2018-03-10
"58923","D1803248","981020025673348","Bailey","8 years 8 months.","Female","Dog","Lhasa Apso/Shih Tzu","Cream",104,2,10,0,0,1,1,0,0,0,0,0,0,0,2018-03-10
"58924","C1803251","981020025771518","Stewie","1 year 5 months.","Male","Cat","Maine Coon/Domestic Long Hair","Black and Brown",17,2,2,0,0,1,1,0,0,0,0,0,0,0,2018-03-10
"58926","C1803252","981020025669404","Boots","2 years 8 months.","Female","Cat","Domestic Short Hair","Torbie",32,2,18,0,0,1,1,0,0,0,0,0,0,0,2018-03-10
"58927","R1803253","","Bubs","1 year 8 months.","Male","House Rabbit","American","Grey",20,2,89,0,1,0,0,0,0,0,0,0,0,0,2018-03-11
"58942","D1803250","","Dobie","11 months.","Male","Dog","Doberman Pinscher","Black and Brown",11,2,0,0,0,0,0,0,0,1,1,0,0,0,2018-03-12
"58943","D1803227","","Romeo","12 years 8 months.","Male","Dog","Poodle","Black",152,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-03-12
"58944","C1803255","981020025628179","Roux","2 years 5 months.","Male","Cat","Domestic Long Hair","Black",29,2,10,0,0,1,1,0,0,0,0,0,0,0,2018-03-12
"58945","D1803256","981020025482669","Dixie","1 year 10 months.","Female","Dog","Pit Bull Terrier/Boxer","Tan",22,2,19,0,0,1,1,0,0,0,0,0,0,0,2018-03-12
"58946","C1803253","981020025747969","Adora","1 year 11 months.","Female","Cat","Domestic Short Hair","Black and Brown",23,4,10,0,0,1,2,0,0,0,0,1,1,0,2018-03-12
"58947","C1803231","985121007223426","Louise","6 years 8 months.","Female","Cat","Domestic Short Hair","Black",80,2,24,0,0,1,1,0,0,0,0,0,0,0,2018-03-13
